source,target,type,weight
243,45955,directed,1
243,45890,directed,1
243,45906,directed,1
243,3676,directed,1
243,46295,directed,1
244,45839,directed,1
245,46296,directed,1
242,46297,directed,1
243,46291,directed,1
243,46291,directed,1
243,46292,directed,1
243,46289,directed,1
243,46293,directed,1
243,45987,directed,1
243,46294,directed,1
243,45955,directed,1
243,45890,directed,1
243,45906,directed,1
243,3676,directed,1
243,46295,directed,1
243,46290,directed,1
242,46298,directed,1
243,45987,directed,1
243,46291,directed,1
243,46292,directed,1
243,46289,directed,1
243,46293,directed,1
243,45987,directed,1
243,46294,directed,1
243,45955,directed,1
243,45890,directed,1
243,45906,directed,1
243,3676,directed,1
243,46295,directed,1
243,46290,directed,1
243,46289,directed,1
243,46291,directed,1
243,46292,directed,1
243,46289,directed,1
243,46293,directed,1
243,45987,directed,1
243,46294,directed,1
243,45955,directed,1
243,45890,directed,1
243,45906,directed,1
243,3676,directed,1
243,46295,directed,1
243,46290,directed,1
228,46291,directed,1
228,45876,directed,1
228,46291,directed,1
246,46289,directed,1
247,45876,directed,1
228,46291,directed,1
228,45876,directed,1
228,46291,directed,1
224,45967,directed,1
248,46299,directed,1
243,45987,directed,1
243,46291,directed,1
243,46292,directed,1
243,46289,directed,1
243,46293,directed,1
243,45987,directed,1
243,46294,directed,1
243,45955,directed,1
243,45890,directed,1
243,45906,directed,1
243,3676,directed,1
243,46295,directed,1
243,46290,directed,1
242,46300,directed,1
228,46291,directed,1
228,45876,directed,1
228,46291,directed,1
249,46301,directed,1
249,46302,directed,1
249,45833,directed,1
249,46303,directed,1
249,46304,directed,1
250,46305,directed,1
251,46306,directed,1
242,46307,directed,1
252,46013,directed,1
252,46013,directed,1
253,46308,directed,1
252,46274,directed,1
252,46274,directed,1
254,46309,directed,1
225,46250,directed,1
255,46075,directed,1
230,46310,directed,1
230,46311,directed,1
256,46312,directed,1
257,46313,directed,1
257,21591,directed,1
258,46314,directed,1
259,46315,directed,1
260,46316,directed,1
261,46317,directed,1
261,46318,directed,1
228,46319,directed,1
228,46320,directed,1
228,45876,directed,1
228,46319,directed,1
262,46321,directed,1
263,46322,directed,1
264,46036,directed,1
265,46128,directed,1
266,46323,directed,1
266,21609,directed,1
228,46319,directed,1
228,46324,directed,1
228,46325,directed,1
228,45876,directed,1
228,46319,directed,1
267,46326,directed,1
268,45968,directed,1
228,46319,directed,1
228,46325,directed,1
228,46327,directed,1
228,45876,directed,1
228,46319,directed,1
269,46328,directed,1
270,46329,directed,1
270,46330,directed,1
271,46331,directed,1
272,46332,directed,1
264,46036,directed,1
230,46310,directed,1
230,46311,directed,1
230,46262,directed,1
230,37179,directed,1
228,46333,directed,1
228,46334,directed,1
228,45876,directed,1
228,46319,directed,1
273,46335,directed,1
273,46336,directed,1
228,46319,directed,1
228,46337,directed,1
228,45876,directed,1
228,46319,directed,1
228,46325,directed,1
228,46338,directed,1
228,45876,directed,1
228,46325,directed,1
274,46339,directed,1
275,46340,directed,1
276,46143,directed,1
228,46325,directed,1
228,46341,directed,1
228,45876,directed,1
228,46325,directed,1
277,45876,directed,1
277,46342,directed,1
262,46321,directed,1
262,46340,directed,1
262,46343,directed,1
278,2168,directed,1
278,46344,directed,1
278,2168,directed,1
278,46344,directed,1
279,46345,directed,1
279,46346,directed,1
280,46347,directed,1
281,46143,directed,1
282,46348,directed,1
283,46349,directed,1
228,46319,directed,1
228,46333,directed,1
228,45876,directed,1
228,46319,directed,1
284,46350,directed,1
285,46351,directed,1
285,46352,directed,1
285,46353,directed,1
228,46354,directed,1
228,45876,directed,1
228,46354,directed,1
286,46355,directed,1
287,46356,directed,1
288,46357,directed,1
289,46358,directed,1
289,46359,directed,1
289,46360,directed,1
289,45876,directed,1
290,46128,directed,1
291,46361,directed,1
