source,target,type,weight
213,213,directed,1
568,26157,directed,1
568,26157,directed,1
569,26158,directed,1
570,570,directed,1
571,571,directed,1
572,26159,directed,1
573,573,directed,1
574,26160,directed,1
575,26161,directed,1
576,25737,directed,1
432,432,directed,1
577,26162,directed,1
578,26163,directed,1
579,26164,directed,1
580,25978,directed,1
579,26165,directed,1
579,26165,directed,1
581,25736,directed,1
582,26166,directed,1
575,26167,directed,1
583,26168,directed,1
584,25973,directed,1
585,585,directed,1
586,26169,directed,1
587,26170,directed,1
588,588,directed,1
589,26171,directed,1
590,590,directed,1
591,25685,directed,1
592,592,directed,1
593,26172,directed,1
594,1751,directed,1
595,26173,directed,1
596,26174,directed,1
597,597,directed,1
334,334,directed,1
598,25710,directed,1
334,334,directed,1
599,25985,directed,1
600,25737,directed,1
600,25737,directed,1
213,213,directed,1
601,601,directed,1
601,26126,directed,1
602,602,directed,1
597,597,directed,1
603,26175,directed,1
604,604,directed,1
605,605,directed,1
606,606,directed,1
607,11204,directed,1
608,608,directed,1
608,608,directed,1
609,25747,directed,1
537,26176,directed,1
610,26029,directed,1
608,608,directed,1
611,611,directed,1
612,26177,directed,1
612,26177,directed,1
612,26178,directed,1
613,26179,directed,1
613,26180,directed,1
612,26181,directed,1
613,26182,directed,1
334,334,directed,1
613,26183,directed,1
612,26184,directed,1
613,26185,directed,1
612,26186,directed,1
612,26187,directed,1
614,26188,directed,1
615,25976,directed,1
612,26189,directed,1
612,26190,directed,1
612,26177,directed,1
612,26191,directed,1
612,26192,directed,1
612,26193,directed,1
612,26190,directed,1
612,26194,directed,1
612,26189,directed,1
612,26195,directed,1
612,26196,directed,1
612,26197,directed,1
612,26198,directed,1
616,25710,directed,1
612,26177,directed,1
617,25710,directed,1
612,26199,directed,1
618,618,directed,1
619,26200,directed,1
620,26130,directed,1
621,26201,directed,1
622,26202,directed,1
623,25683,directed,1
624,26203,directed,1
625,26163,directed,1
626,26204,directed,1
627,26205,directed,1
628,26206,directed,1
629,25971,directed,1
630,630,directed,1
631,25737,directed,1
632,26207,directed,1
633,26208,directed,1
634,634,directed,1
635,26040,directed,1
636,636,directed,1
485,26209,directed,1
255,26210,directed,1
637,637,directed,1
638,25949,directed,1
639,26211,directed,1
249,26212,directed,1
570,570,directed,1
640,26213,directed,1
641,25737,directed,1
642,26019,directed,1
643,26214,directed,1
644,644,directed,1
645,25821,directed,1
646,26215,directed,1
647,26216,directed,1
648,26217,directed,1
649,26218,directed,1
650,25982,directed,1
651,26219,directed,1
652,26220,directed,1
597,597,directed,1
653,26221,directed,1
654,26222,directed,1
655,26223,directed,1
656,25737,directed,1
657,657,directed,1
647,26224,directed,1
658,26225,directed,1
659,26226,directed,1
483,11204,directed,1
660,26227,directed,1
661,25781,directed,1
608,26228,directed,1
662,26229,directed,1
663,663,directed,1
664,26230,directed,1
665,25942,directed,1
606,606,directed,1
666,25737,directed,1
667,25710,directed,1
668,25756,directed,1
669,26231,directed,1
670,26215,directed,1
671,25773,directed,1
213,213,directed,1
672,26232,directed,1
673,673,directed,1
674,674,directed,1
675,26233,directed,1
676,26234,directed,1
677,26235,directed,1
678,678,directed,1
679,679,directed,1
301,301,directed,1
680,26236,directed,1
350,26237,directed,1
681,26238,directed,1
537,25980,directed,1
682,26239,directed,1
683,26240,directed,1
684,26241,directed,1
685,26242,directed,1
686,26243,directed,1
687,26244,directed,1
688,25942,directed,1
689,26245,directed,1
684,25800,directed,1
690,26139,directed,1
691,3065,directed,1
692,26208,directed,1
289,289,directed,1
321,321,directed,1
693,693,directed,1
694,26246,directed,1
340,26247,directed,1
695,23700,directed,1
570,570,directed,1
696,26248,directed,1
321,321,directed,1
289,289,directed,1
249,26249,directed,1
596,25942,directed,1
249,26250,directed,1
249,26251,directed,1
249,26252,directed,1
321,321,directed,1
249,26079,directed,1
249,26253,directed,1
249,26254,directed,1
249,26255,directed,1
697,26256,directed,1
697,26257,directed,1
697,26258,directed,1
698,25743,directed,1
699,26259,directed,1
700,26260,directed,1
697,25926,directed,1
701,26261,directed,1
321,321,directed,1
702,26262,directed,1
249,26263,directed,1
289,289,directed,1
249,25737,directed,1
249,26264,directed,1
249,26265,directed,1
703,26266,directed,1
249,26267,directed,1
249,26268,directed,1
249,26269,directed,1
249,26079,directed,1
704,704,directed,1
705,705,directed,1
597,597,directed,1
706,26145,directed,1
707,26270,directed,1
708,26271,directed,1
709,26210,directed,1
710,26272,directed,1
289,289,directed,1
233,233,directed,1
711,25911,directed,1
712,26273,directed,1
713,26274,directed,1
714,26275,directed,1
715,26276,directed,1
716,26277,directed,1
717,25968,directed,1
717,25968,directed,1
608,608,directed,1
597,597,directed,1
